id,relative_path,filename,extension,size_bytes,sha256,width_px,height_px,camera_make,camera_model,exif_creation,file_birthtime,file_mtime,gps_latitude,gps_longitude,duplicate_hint_from_name,duplicate_group_id,duplicate_of,session_group_id,session_index,seconds_since_prev,img_number,artifact_group_id,item_title,item_type,subject,location_guess,notes
img_0073,raw/imgs/IMG_3369.jpeg,IMG_3369.jpeg,.jpeg,2878056,0ba79e488846accb0861d641b7342a7bc52e91c6b8ada6fb6c3a184f2327ccfb,4032,3024,Apple,iPhone XR,2023:06:21 15:23:39,2023-06-21 15:23:39,2025-12-18 22:51:29,,,False,D0057,,S0021,9,46.0,3369,S0021,,,,,
img_0074,raw/imgs/IMG_3370.jpeg,IMG_3370.jpeg,.jpeg,2715808,3a6f123131c293dfc52632bf3d5c971f75910f7c1625df95fbb7f68a91b0b823,4032,3024,Apple,iPhone XR,2023:06:21 15:24:19,2023-06-21 15:24:19,2025-12-18 22:51:29,,,False,D0058,,S0021,10,40.0,3370,S0021,,,,,
img_0075,raw/imgs/IMG_3371.jpeg,IMG_3371.jpeg,.jpeg,2664406,a96571c2260abb34f153ea8a86590181d245abfd229ca89a2fdba4baca37689e,4032,3024,Apple,iPhone XR,2023:06:21 15:30:22,2023-06-21 15:30:22,2025-12-18 22:51:30,,,False,D0059,,S0022,1,363.0,3371,S0022,,,,,
img_0076,raw/imgs/IMG_3372.jpeg,IMG_3372.jpeg,.jpeg,2475594,264fbc99af4b98480f6e578c11c5c85e46c74ce0b42ed4a64175faac21137b72,4032,3024,Apple,iPhone XR,2023:06:21 15:30:51,2023-06-21 15:30:51,2025-12-18 22:51:31,,,False,D0060,,S0022,2,29.0,3372,S0022,,,,,
img_0077,raw/imgs/IMG_3373.jpeg,IMG_3373.jpeg,.jpeg,2673132,401acda1d21c1b4df4afe8a3f850286aae2b6ad64319cf7a85b783316522faeb,4032,3024,Apple,iPhone XR,2023:06:21 15:32:31,2023-06-21 15:32:31,2025-12-18 22:51:31,,,False,D0061,,S0023,1,100.0,3373,S0023,,,,,
img_0078,raw/imgs/IMG_3374.jpeg,IMG_3374.jpeg,.jpeg,2793235,484ab1a2947c0d410a32b3292a3ee5c48ee44dd37f0f8e0c839f721685f51cff,4032,3024,Apple,iPhone XR,2023:06:21 15:32:37,2023-06-21 15:32:37,2025-12-18 22:51:32,,,False,D0062,,S0023,2,6.0,3374,S0023,,,,,
img_0079,raw/imgs/IMG_3375.jpeg,IMG_3375.jpeg,.jpeg,2957835,5d769cf106bc0e57e1a3eda9d49e57e908a9918f17bdb3df46bf42655778ad56,4032,3024,Apple,iPhone XR,2023:06:21 15:34:09,2023-06-21 15:34:09,2025-12-18 22:51:32,,,False,D0063,,S0024,1,92.0,3375,S0024,,,,,
img_0080,raw/imgs/IMG_3376.jpeg,IMG_3376.jpeg,.jpeg,2442952,10bb5dc11571c462d0a135288b2eaaf785b760c426c30a1fe9d57f39b3bfe57a,4032,3024,Apple,iPhone XR,2023:06:21 15:34:14,2023-06-21 15:34:14,2025-12-18 22:51:33,,,False,D0064,,S0024,2,5.0,3376,S0024,,,,,
img_0081,raw/imgs/IMG_3377.jpeg,IMG_3377.jpeg,.jpeg,2732299,41889407595d3ad9024350c87441d5f228df88d859e641c180b9595fdf576eb8,3024,4032,Apple,iPhone XR,2023:06:21 15:35:53,2023-06-21 15:35:53,2025-12-18 22:51:33,,,False,D0065,,S0025,1,99.0,3377,S0025,,,,,
img_0082,raw/imgs/IMG_3378.jpeg,IMG_3378.jpeg,.jpeg,2323254,4d6b3de9919a814fda9306ad5bca2f6fa839878015e5b17c109888ffc61205c0,4032,3024,Apple,iPhone XR,2023:06:21 15:53:07,2023-06-21 15:53:07,2025-12-18 22:51:34,,,False,D0066,,S0026,1,1034.0,3378,S0026,,,,,
